numero_alimento,descricao,saturados_g,monoinsaturados_g,poliinsaturados_g,c12_0_g,c14_0_g,c16_0_g,c18_0_g,c20_0_g,c22_0_g,c24_0_g,c14_1_g,c16_1_g,c18_1_g,c20_1_g,c18_2n6_g,c18_3n3_g,c20_4_g,c20_5_g,c22_5_g,c22_6_g,c18_1t_g,c18_2t_g,categoria
560,"Ervilha, enlatada, drenada",0.1,0.1,0.2,,1e-05,0.06,0.02,1e-05,1e-05,1e-05,,,0.1,1e-05,0.15,0.02,,,,,,,Leguminosas e derivados
561,"Feijão, carioca, cozido",0.1,0.1,0.3,,,0.11,0.02,1e-05,1e-05,0.01,,1e-05,0.08,,0.16,0.14,,,,,,,Leguminosas e derivados
562,"Feijão, carioca, cru",0.2,0.1,0.9,,,0.14,0.03,1e-05,0.01,0.01,,,0.11,,0.4,0.49,,,,,,,Leguminosas e derivados
563,"Feijão, fradinho, cozido",0.2,0.1,0.3,,1e-05,0.18,0.03,0.01,0.02,0.01,,1e-05,0.05,1e-05,0.21,0.1,,,,,,,Leguminosas e derivados
564,"Feijão, fradinho, cru",0.7,0.2,0.9,1e-05,1e-05,0.5,0.08,0.02,0.04,0.03,,,0.15,0.01,0.58,0.28,,,,,,,Leguminosas e derivados
565,"Feijão, jalo, cozido",0.1,0.1,0.3,,1e-05,0.1,0.01,1e-05,1e-05,0.01,,1e-05,0.06,,0.11,0.2,,,,,,,Leguminosas e derivados
566,"Feijão, jalo, cru",0.3,0.2,0.6,,1e-05,0.25,0.03,1e-05,0.01,0.01,,1e-05,0.15,,0.23,0.41,,,,,,,Leguminosas e derivados
567,"Feijão, preto, cozido",0.1,0.1,0.3,,,0.11,0.02,1e-05,0.01,0.01,,,0.09,,0.16,0.11,,,,,,,Leguminosas e derivados
568,"Feijão, preto, cru",0.2,0.1,0.8,,1e-05,0.15,0.03,0.01,0.01,0.01,1e-05,1e-05,0.13,,0.38,0.47,,,,,,,Leguminosas e derivados
569,"Feijão, rajado, cozido",0.1,1e-05,0.2,,1e-05,0.1,0.02,1e-05,1e-05,1e-05,,1e-05,0.03,,0.09,0.13,,,,,,,Leguminosas e derivados
570,"Feijão, rajado, cru",0.4,0.1,0.8,,1e-05,0.3,0.04,0.01,0.01,0.01,,1e-05,0.14,,0.29,0.46,,,,,,,Leguminosas e derivados
571,"Feijão, rosinha, cozido",0.2,1e-05,0.2,,1e-05,0.12,0.02,0.01,0.02,0.01,,1e-05,0.04,1e-05,0.16,0.07,,,,,,,Leguminosas e derivados
572,"Feijão, rosinha, cru",0.6,0.1,0.7,,1e-05,0.28,0.05,0.01,0.03,0.02,,,0.09,0.01,0.33,0.14,,,,,,,Leguminosas e derivados
573,"Feijão, roxo, cozido",0.1,0.1,0.3,,1e-05,0.1,0.01,1e-05,1e-05,1e-05,,1e-05,0.06,1e-05,0.14,0.19,,,,,,,Leguminosas e derivados
574,"Feijão, roxo, cru",0.3,0.2,0.8,,1e-05,0.27,0.03,1e-05,0.01,0.01,,1e-05,0.16,,0.34,0.46,,,,,,,Leguminosas e derivados
575,"Grão-de-bico, cru",0.9,1.4,2.8,,0.01,0.57,0.2,0.05,0.02,0.01,,0.01,1.42,0.02,2.71,0.13,,,,,,,Leguminosas e derivados
576,"Guandu, cru",0.6,0.2,0.9,,1e-05,0.44,0.08,0.02,0.02,0.02,,1e-05,0.13,1e-05,0.86,0.06,,,,,1e-05,,Leguminosas e derivados
577,"Lentilha, cozida",0.1,0.1,0.3,,1e-05,0.08,0.01,1e-05,1e-05,1e-05,,1e-05,0.14,1e-05,0.21,0.04,,,,,,,Leguminosas e derivados
578,"Lentilha, crua",0.1,0.2,0.4,,0.01,0.1,0.01,0.01,1e-05,1e-05,1e-05,1e-05,0.16,0.01,0.33,0.09,,,,,,,Leguminosas e derivados
579,"Paçoca, amendoim",4.1,10.0,7.3,,,2.24,0.56,0.27,0.65,0.34,,0.01,9.73,0.26,7.25,0.02,,,,,,,Leguminosas e derivados
580,"Pé-de-moleque, amendoim",5.08,14.39,8.25,,,2.7,0.6366666666666667,0.3466666666666667,0.8433333333333334,0.5133333333333333,,0.016666666666666666,13.906666666666666,0.41,8.25,,,,,,,,Leguminosas e derivados
582,"Soja, extrato solúvel, natural, fluido",0.2,0.3,0.6,,1e-05,0.12,0.05,1e-05,0.01,1e-05,,1e-05,0.25,0.01,0.58,0.06,,,,,,0.01,Leguminosas e derivados
583,"Soja, extrato solúvel, pó",3.3,6.4,12.9,,0.02,2.53,0.57,0.06,0.09,0.03,,0.02,6.3,0.05,11.67,1.23,,,,,,,Leguminosas e derivados
584,"Soja, queijo (tofu)",0.4,0.5,1.7,,0.01,0.27,0.1,0.01,0.01,1e-05,,1e-05,0.51,1e-05,1.48,0.2,,,,,,,Leguminosas e derivados
585,"Tremoço, cru",1.2,5.4,1.7,,,0.61,0.19,0.1,0.26,0.05,,0.02,4.89,0.33,1.08,0.57,,,,,,,Leguminosas e derivados
586,"Tremoço, em conserva",0.4,1.9,0.6,,,0.2,0.06,0.03,0.09,0.02,,1e-05,1.82,0.12,0.4,0.22,,,,,,,Leguminosas e derivados
587,"Amêndoa, torrada, salgada",4.8,32.3,16.2,,0.04,3.91,0.77,0.04,0.02,,,0.22,31.95,0.03,16.17,0.03,,,,,0.1,0.02,Nozes e sementes
588,"Castanha-de-caju, torrada, salgada",7.7,26.5,8.1,,,3.95,3.42,0.23,0.06,0.06,,0.13,26.27,0.08,8.0,0.08,,,,,0.11,,Nozes e sementes
589,"Castanha-do-Brasil, crua",15.3,27.4,21.0,,0.04,0.04,6.14,0.16,0.03,,,0.18,27.14,0.04,20.97,0.04,,,,,,,Nozes e sementes
590,"Coco, cru",30.0,1.5,0.3,15.37,6.12,2.74,0.97,,,,,,1.47,,0.32,,,,,,,,Nozes e sementes
591,"Coco, verde, cru",3.140333333333333,1.1476666666666666,0.2773333333333334,1.2396666666666667,0.8033333333333333,0.7743333333333334,0.1376666666666667,1e-05,1e-05,0.014,,1e-05,1.1476666666666666,1e-05,0.2773333333333334,,,,,,,,Nozes e sementes
593,"Gergelim, semente",7.8,19.9,22.5,,0.03,4.86,2.58,0.26,,0.04,,0.07,19.72,0.09,22.39,0.16,,,,,,,Nozes e sementes
594,"Linhaça, semente",4.2,7.1,25.3,,0.03,2.49,1.62,0.06,,0.04,,0.03,7.06,0.04,5.42,19.81,,,,,,,Nozes e sementes
595,"Pinhão, cozido",0.3,0.1,0.2,,,0.18,0.04,0.03,0.02,,,,0.09,,0.22,,,,,,,,Nozes e sementes
596,"Pupunha, cozida",3.066,6.782333333333334,0.3606666666666667,,,2.77,0.25533333333333336,0.030666666666666665,,,,0.3233333333333333,6.449000000000001,0.01,0.279,0.08166666666666667,,,,,,,Nozes e sementes
597,"Noz, crua",5.6,8.7,44.1,,,4.26,1.34,,,,,,8.66,0.09,35.3,8.82,,,,,,,Nozes e sementes
